Latitude,Longitude,Elevation
44.19580800,-77.3845730,96.0
44.16002000,-77.5253170,110.0
44.11937200,-77.6100100,103.0
44.11720800,-77.6435720,148.0
44.10884300,-77.6629970,184.0
44.10020700,-77.6929120,184.0
44.09098300,-77.7074050,179.0
44.08222700,-77.7295900,186.0
44.07722500,-77.7501800,193.0
44.07506000,-77.7683780,199.0
44.06190300,-77.7862400,201.0
44.06020800,-77.8011950,186.0
44.05402000,-77.8230270,175.0
44.04589800,-77.8336800,186.0
44.04187000,-77.8483570,178.0
44.02716300,-77.8859200,174.0
44.01849700,-77.9320280,160.0
44.01151000,-77.9905780,161.0
44.00204200,-78.0359730,168.0
43.99771700,-78.0649470,145.0
43.99834500,-78.0715800,145.0
44.00310000,-78.0845270,169.0
44.00463500,-78.1155180,175.0
43.99997200,-78.1314650,142.0
43.99366800,-78.1444980,142.0
43.99215200,-78.1613950,115.0
43.98704800,-78.1710130,109.0
43.98143300,-78.1889950,102.0
43.97888700,-78.2078700,107.0
43.98346500,-78.2289700,118.0
43.97103200,-78.2796200,111.0
43.97084800,-78.2862820,109.0
43.97187300,-78.2881500,105.0
43.97336000,-78.2876100,106.0
43.97160000,-78.2865030,107.0
43.97233800,-78.2855800,107.0
43.97435300,-78.2873750,104.0
43.97023000,-78.2878480,107.0
43.96527200,-78.3358170,142.0
43.92415200,-78.5205500,150.0
43.90416800,-78.6176780,96.0
43.89861000,-78.6767020,82.0
43.88563300,-78.7108920,94.0
43.87558300,-78.7916130,100.0
43.87725200,-78.8000030,96.0
43.88564200,-78.8157720,82.0
43.88711500,-78.8304230,89.0
43.86606800,-78.9196680,87.0
43.86732200,-78.9566730,81.0
43.86417000,-78.9771380,81.0
43.84604500,-79.0552750,86.0
43.82270500,-79.1057570,93.0
43.79605800,-79.1483630,114.0
43.79575300,-79.1543200,124.0
43.79968200,-79.1666500,126.0
43.79989000,-79.1739650,127.0
43.79356700,-79.2161520,160.0
43.78441200,-79.2396900,170.0
43.76907700,-79.3102980,176.0
43.76824300,-79.3315670,177.0
43.76931300,-79.3380930,176.0
43.72292800,-79.3302780,130.0
43.71337200,-79.3255770,121.0
43.70807300,-79.3309020,105.0
43.70206500,-79.3336480,92.0
43.69761800,-79.3423070,100.0
